Site_ID,Date_start,Date_end,CH4mean,CO2mean,N2Omean,Diffusive_CH4_Flux_Mean,CO2_Flux_Mean,N2O_Flux_Mean,Diff_Method,Latitude,Longitude,Elevation_m,Slope_m_per_m,Strahler_order,Basin_size_km2,Channel_type
1000,2016-08-01,2016-08-01,59.92542756,587.84384,NA,4.430826687,42.45296088,NA,conc+k,70.8313,147.519,61,NA,NA,NA,NA
1000,2016-08-05,2016-08-05,15.38659089,457.11936,NA,1.146495273,32.57152942,NA,conc+k,70.8313,147.519,61,NA,NA,NA,NA
1000,2016-08-08,2016-08-08,41.74030188,603.664,NA,3.016990126,43.48539346,NA,conc+k,70.8313,147.519,61,NA,NA,NA,NA
1001,2016-08-01,2016-08-01,2.168181904,129.89184,NA,5.909917038,303.9340435,NA,conc+k,70.8306,147.519,61,NA,NA,NA,NA
1001,2016-08-05,2016-08-05,2.058272683,84.09664,NA,5.586369673,169.2717615,NA,conc+k,70.8306,147.519,61,NA,NA,NA,NA
1001,2016-08-08,2016-08-08,4.184251046,109.07584,NA,11.38336896,239.7589971,NA,conc+k,70.8306,147.519,61,NA,NA,NA,NA
1002,2016-08-01,2016-08-01,1.199200609,91.5904,NA,3.307592664,192.0230385,NA,conc+k,70.8295,147.512,61,NA,NA,NA,NA
1002,2016-08-05,2016-08-05,1.584832963,68.27648,NA,4.17495409,130.6634001,NA,conc+k,70.8295,147.512,61,NA,NA,NA,NA
1002,2016-08-08,2016-08-08,1.881157823,83.264,NA,5.058646642,175.0763854,NA,conc+k,70.8295,147.512,61,NA,NA,NA,NA
1003,2016-08-01,2016-08-01,1.303209335,139.05088,NA,3.483406801,301.1641837,NA,conc+k,70.8283,147.506,61,NA,NA,NA,NA
1003,2016-08-05,2016-08-05,1.282707615,39.96672,NA,3.477400631,53.44018222,NA,conc+k,70.8283,147.506,61,NA,NA,NA,NA
1003,2016-08-08,2016-08-08,1.788350037,70.7744,NA,4.936731027,134.5047201,NA,conc+k,70.8283,147.506,61,NA,NA,NA,NA
1089,2018-05-08,2018-05-08,0.834,134.39,0.152,1.1232,110.5056,NA,suspended/tethered chamber- linear response,43.1114,-89.5361,279,0.0059,1,24.9,CH
1089,2018-07-25,2018-07-25,0.095,223.36,0.135,1.4688,759.24,NA,suspended/tethered chamber- linear response,43.1114,-89.5361,279,0.0059,1,24.9,CH
1089,2018-08-07,2018-08-07,0.186,351.6,0.184,1.728,867.1968,NA,suspended/tethered chamber- linear response,43.1114,-89.5361,279,0.0059,1,24.9,CH
1090,2018-05-08,2018-05-08,0.556,4.02,0.027,3.2832,-43.5456,NA,suspended/tethered chamber- linear response,43.0986,-89.5214,282,0.0053,1,16.1,CH
1090,2018-07-25,2018-07-25,0.33,1.71,0.007,1.8144,-52.38432,NA,suspended/tethered chamber- linear response,43.0986,-89.5214,282,0.0053,1,16.1,CH
1090,2018-08-07,2018-08-07,0.799,21.51,-999999,3.9744,35.0784,NA,suspended/tethered chamber- linear response,43.0986,-89.5214,282,0.0053,1,16.1,CH
1090,2018-09-06,2018-09-06,0.784,58.01,-999999,2.6784,126.8352,NA,suspended/tethered chamber- linear response,43.0986,-89.5214,282,0.0053,1,16.1,CH
1090,2018-10-12,2018-10-12,0.14,40.39,0.097,2.4192,153.6192,NA,suspended/tethered chamber- linear response,43.0986,-89.5214,282,0.0053,1,16.1,CH
1090,2018-11-01,2018-11-01,0.632,75.17,0.16,0.6048,29.808,NA,suspended/tethered chamber- linear response,43.0986,-89.5214,282,0.0053,1,16.1,CH
1091,2018-05-09,2018-05-09,1.588,99.14,0.01,9.4176,331.5168,NA,suspended/tethered chamber- linear response,43.1402,-89.4425,256,0.0023,1,32.6,NA
1091,2018-07-30,2018-07-30,0.6,191.29,0.096,2.5056,338.41152,NA,suspended/tethered chamber- linear response,43.1402,-89.4425,256,0.0023,1,32.6,NA
1091,2018-08-15,2018-08-15,1.22,212.48,0.1,1.9008,286.1568,NA,suspended/tethered chamber- linear response,43.1402,-89.4425,256,0.0023,1,32.6,NA
1091,2018-09-07,2018-09-07,1.219,337.43,0.146,13.0464,276.8256,NA,suspended/tethered chamber- linear response,43.1402,-89.4425,256,0.0023,1,32.6,NA
1091,2018-10-12,2018-10-12,1.592,211.92,0.148,8.8992,435.9744,NA,suspended/tethered chamber- linear response,43.1402,-89.4425,256,0.0023,1,32.6,NA
1091,2018-11-01,2018-11-01,1.056,181.46,0.046,4.6656,288.4896,NA,suspended/tethered chamber- linear response,43.1402,-89.4425,256,0.0023,1,32.6,NA
1092,2018-05-10,2018-05-10,2.283,154.39,0.034,4.9248,339.552,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
1092,2018-07-23,2018-07-23,0.169,115.7,0.08,18.576,1951.36128,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
1092,2018-07-31,2018-07-31,0.196,208.04,0.138,5.616,1219.82976,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
1092,2018-08-15,2018-08-15,0.822,194.94,0.146,14.9472,1784.3328,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
1092,2018-09-07,2018-09-07,0.753,234.39,0.192,2.9376,1750.9824,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
1092,2018-10-12,2018-10-12,0.357,217.64,0.176,5.4432,1110.4992,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
1092,2018-11-01,2018-11-01,0.196,170.77,0.234,2.8512,712.4544,NA,suspended/tethered chamber- linear response,43.145,-89.4721,262,0.003,1,25.8,NA
